name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Colombo, Western, Sri Lanka",2023-07-03,86.1,80.5,82.8,97.4,85.5,91.0,76.4,81.3,0.15,100.0,16.67,rain,0.0,0.0,33.3,15.2,253.2,1009.4,75.7,8.2,126.5,10.9,5.0,60.0,2023-07-03T05:59:21,2023-07-03T18:30:18,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43450099999,43467099999,43486099999,43466099999,remote"
"Colombo, Western, Sri Lanka",2023-07-04,86.1,80.5,81.6,98.9,86.4,88.9,76.5,84.7,0.22,100.0,29.17,rain,0.0,0.0,38.7,20.8,252.2,1008.9,71.6,7.7,96.3,8.4,4.0,30.0,2023-07-04T05:59:35,2023-07-04T18:30:26,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43466099999,remote"
"Colombo, Western, Sri Lanka",2023-07-05,84.3,77.1,80.3,94.4,77.1,84.2,75.5,85.5,2.151,100.0,41.67,rain,0.0,0.0,37.8,16.1,250.6,1008.3,86.2,6.5,99.5,8.5,4.0,30.0,2023-07-05T05:59:49,2023-07-05T18:30:33,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,remote,43466099999"
"Colombo, Western, Sri Lanka",2023-07-06,86.1,77.1,81.3,96.4,77.1,86.5,76.3,85.2,0.217,100.0,20.83,rain,0.0,0.0,26.8,10.3,246.4,1009.5,65.1,8.4,182.8,15.8,8.0,30.0,2023-07-06T06:00:03,2023-07-06T18:30:40,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43450099999,43467099999,43486099999,43466099999,remote"
"Colombo, Western, Sri Lanka",2023-07-07,84.3,77.1,81.5,96.4,77.1,87.2,76.3,84.5,0.046,100.0,12.5,rain,0.0,0.0,22.6,11.4,237.9,1011.2,50.9,8.1,168.5,14.6,6.0,30.0,2023-07-07T06:00:16,2023-07-07T18:30:46,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-07-08,86.3,77.1,81.9,97.4,77.1,88.0,75.6,81.5,0.004,100.0,4.17,rain,0.0,0.0,24.6,9.2,238.9,1011.5,42.2,8.1,243.6,21.1,8.0,60.0,2023-07-08T06:00:30,2023-07-08T18:30:52,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-07-09,86.4,78.9,83.3,99.2,78.9,92.4,77.1,81.9,0.0,0.0,0.0,rain,0.0,0.0,23.5,9.2,237.0,1009.9,80.4,8.1,249.8,21.7,8.0,60.0,2023-07-09T06:00:43,2023-07-09T18:30:57,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-07-10,86.1,80.7,83.4,99.7,87.4,92.9,77.3,81.9,0.005,100.0,8.33,rain,0.0,0.0,22.4,10.3,238.9,1009.4,76.4,7.9,210.8,18.2,8.0,60.0,2023-07-10T06:00:56,2023-07-10T18:31:01,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-07-11,86.1,80.7,83.1,97.4,87.4,92.6,77.7,84.0,0.004,100.0,4.17,rain,0.0,0.0,19.2,10.3,229.8,1009.3,80.8,8.0,178.7,15.1,6.0,60.0,2023-07-11T06:01:09,2023-07-11T18:31:05,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-07-12,88.0,78.9,83.2,102.5,78.9,92.0,77.6,83.6,0.0,0.0,0.0,rain,0.0,0.0,20.8,13.9,217.4,1009.4,62.4,8.0,250.3,21.7,8.0,60.0,2023-07-12T06:01:22,2023-07-12T18:31:08,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43450099999,43467099999,43486099999,43466099999"
